Location Code,Real Property Asset Name,Installation Name,Owned or Leased,GSA Region,Street Address,City,State,Zip Code,Latitude,Longitude,Building Rentable Square Feet,Available Square Feet,Construction Date,Congressional District,Congressional District Representative Name,Building Status,Real Property Asset Type,31-07-2025,Estimated Asset Value (USD),Missing Valuation
FL3152,PERRINE BLDG,,L,4,11100 SW 211TH ST,MIAMI,FL,33189,25.57055,-80.371361,19474.0,,2000.0,1227,Maria Salazar,Active,BUILDING,555262.0369,10813172906.5906,False
MS2081,SCS BUILDING,,L,4,311 AIRPORT RD S,PEARL,MS,39208,32.27679,-90.073681,6270.0,,2000.0,2803,Michael Guest,Active,BUILDING,206192.9328,1292829688.6560001,False
MA5871,BARNSTABLE MUNICIPAL AIRPORT,,L,1,480 BARNSTABLE RD,HYANNIS,MA,2601,41.66913,-70.279051,1112.0,,2000.0,2509,William Keating,Active,BUILDING,564093.4254,627271889.0447999,False
AR1295,965 HOLIDAY DRIVE,,L,7,965 HOLIDAY DR,FORREST CITY,AR,72335,35.041419,-90.776444,12774.0,,2009.0,501,Eric Crawford,Active,BUILDING,74791.95565,955392441.4731001,False
CA8013,SACRAMENTO FBI,,L,9,2001 FREEDOM WAY,ROSEVILLE,CA,95678,38.792466,-121.30123,127434.0,,2000.0,603,Kevin Kiley,Active,BUILDING,549448.8628,70018466382.0552,False
VA0833,CEDAR HILL I,,L,11,2222 GALLOWS RD,DUNN LORING,VA,22027,38.89966,-77.225691,45360.0,,2000.0,5111,Gerald Connolly,Active,BUILDING,1326038.922,60149125501.92,False
ND0547,PEMBINE POE - SECONDARY INSPECTION BLDG,PEMBINA BORDER STATION,F,8,SECONDARY INSPECTION BLDG,PEMBINA,ND,58271,48.99858,-97.239,8272.58,,1997.0,3800,Kelly Armstrong,Active,STRUCTURE,,,True
AR1247,1520 RIVERFRONT DRIVE,,L,7,1520 RIVERFRONT DR,LITTLE ROCK,AR,72202,34.76521,-92.306251,21656.0,,2000.0,502,J. Hill,Active,BUILDING,144799.3318,3135774329.4608,False
TX2339,3004 N MCCOLL STREET,,L,7,3004 N MCCOLL RD,MCALLEN,TX,78501,26.2283,-98.207101,20201.0,,1998.0,4815,Monica De La Cruz,Active,BUILDING,191680.3185,3872134114.0185,False
MI1991,RICK FINLEY BUILDING,,L,5,431 HOWARD ST,DETROIT,MI,48226,42.33047,-83.052561,78272.0,,2000.0,2613,Shri Thanedar,Active,BUILDING,318902.8287,24961162208.0064,False
TX0081,GALVESTON USPO/COURTHOUSE,,F,7,601 25TH ST,GALVESTON,TX,77550,29.30246,-94.796001,94395.1,,1937.0,4814,Randy Weber,Active,BUILDING,306083.1641,28892750883.53591,False
NJ4599,11 CENTRE STREET,,L,2,11 CENTER ST,NEWARK,NJ,7102,40.7395264,-74.167481,247067.0,,2000.0,3410,Donald Payne,Active,BUILDING,407289.8473,100627880702.86911,False
OH2090,CROWN CENTRE,,L,5,5005 ROCKSIDE RD,INDEPENDENCE,OH,44131,41.39802,-81.654131,18902.0,,2000.0,3907,Max Miller,Active,BUILDING,313569.2966,5927086844.3332,False
OK1441,4400 SW 44TH ST,,L,7,4400 SW 44TH ST,OKLAHOMA CITY,OK,73119,35.42388,-97.596751,35592.0,,2000.0,4003,Frank Lucas,Active,BUILDING,110337.1814,3927120960.3888,False
DC0029,POST OFFICE OLD,,F,11,1100 PENNSYLVANIA AVE NW,WASHINGTON,DC,20004,38.8941402,-77.0275133,414690.82,,1899.0,1198,Eleanor Norton,Active,BUILDING,443126.9805,183760690907.669,False
PA0802,1781 MCKEES ROCKS ROAD,,L,3,1781 MCKEES ROCKS RD,MCKEES ROCKS,PA,15136,40.46881,-80.092901,26575.0,,2000.0,4217,Christopher Deluzio,Active,BUILDING,198553.3522,5276555334.715,False
CO2130,NORTH CREEK II,,L,8,5755 MARK DABLING BLVD,COLORADO SPRINGS,CO,80919,38.91486,-104.821,18853.0,,2000.0,805,Doug Lamborn,Active,BUILDING,597630.6808,11267131225.1224,False
MD0347,E1-RESEARCH FAC-POUL,FDA-CVM LABORATORY,F,11,8501N MUIRKIRK RD,LAUREL,MD,20708,39.055894,-76.859554,10410.86,,1996.0,2404,Glenn Ivey,Active,BUILDING,494902.6304,5152361998.726145,False
OH2081,THE 500 BUILDING,,L,5,500 S FRONT ST,COLUMBUS,OH,43215,39.9517,-83.000181,30556.0,,2000.0,3903,Joyce Beatty,Active,BUILDING,377803.2279,11544155431.7124,False
TX0034,USBS DONNA SOUTHBOUND COMMERCIAL SECONDARY INSP CANOPY,USBS DONNA,F,7,7801 S. INTERNATIONAL BLVD,DONNA,TX,78537,26.070783,-98.072926,14539.97,,2020.0,4834,Vicente Gonzalez,Active,STRUCTURE,145648.3632,2117722831.4771037,False
NY7462,THE SYRACUSE BUILDING,,L,2,224 HARRISON ST,SYRACUSE,NY,13202,43.04408,-76.149811,4196.0,,1960.0,3622,Brandon Williams,Active,BUILDING,362303.2235,1520224325.806,False
ME8020,UNION FORE STREET,,L,1,2 PORTLAND SQ,PORTLAND,ME,4101,43.65581,-70.255691,4278.0,,2000.0,2301,Chellie Pingree,Active,BUILDING,659121.1369,2819720223.6582003,False
CA8026,PERCY AND FRANKLIN AVENUE,,L,9,355 PERCY AVE,YUBA CITY,CA,95991,39.1301243,-121.6161765,10244.0,,1998.0,601,Doug LaMalfa,Active,BUILDING,407598.4192,4175438206.2848,False
FL1122,NATIONAL MARINE SANCTUARY KEY LARGO,,L,4,95230 OVERSEAS HWY,KEY LARGO,FL,33037,25.04809,-80.488361,7993.0,,2000.0,1228,Carlos Gimenez,Active,BUILDING,1056132.899,8441670261.707,False
OH2348,CLYO ROAD,,L,5,7747 CLYO RD,CENTERVILLE,OH,45459,39.6332037,-84.139186,16568.0,,2008.0,3910,Michael Turner,Active,BUILDING,334936.7202,5549231580.2736,False
MD1248,6010 EXECUTIVE BOULEVARD,WESTWOOD,L,11,6010 EXECUTIVE BLVD,ROCKVILLE,MD,20852,39.047481,-77.123088,19146.0,,2000.0,2408,Jamie Raskin,Active,BUILDING,539978.1879,10338422385.5334,False
UT1545,GOTSAFETY BUILDING,,L,8,2460 W UT-56,CEDAR CITY,UT,84720,37.685691,-113.09548,4064.0,,2000.0,4902,Chris Stewart,Active,BUILDING,424048.5199,1723333184.8736,False
TX2052,SENTRY III,,L,7,5214 68TH ST,LUBBOCK,TX,79424,33.53363,-101.92608,6931.0,,2000.0,4819,Jodey Arrington,Active,BUILDING,291680.8194,2021639759.2613997,False
MN1569,"375 JACKSON, ST PAUL",,L,5,375 JACKSON ST,ST. PAUL,MN,55101,44.94832,-93.090201,40037.0,,2000.0,2704,Betty McCollum,Active,BUILDING,186853.219,7481042329.103001,False
TX0126,WARD R. BURKE UNITED STATES COURTHOUSE,,F,7,104 N 3RD ST,LUFKIN,TX,75901,31.33867,-94.726361,16613.29,,1935.0,4817,Pete Sessions,Active,BUILDING,197743.15,3285164296.4635,False
VA0323,CRYSTAL PARK 5,,L,11,2451 CRYSTAL DR,ARLINGTON,VA,22202,38.85209,-77.049131,87987.0,,2000.0,5108,Donald Beyer,Active,BUILDING,770424.4344,67787334709.5528,False
FL2473,SOUTHTRUST BANK PLAZA,,L,4,1800 2ND ST,SARASOTA,FL,34236,27.33779,-82.533751,3488.0,,2000.0,1217,W. Steube,Active,BUILDING,1046615.861,3650596123.168,False
NY7036,17-19 WEST 34TH ST,,L,2,19 W 34TH ST,NEW YORK,NY,10001,40.749192,-73.985922,10728.0,,2000.0,3612,Jerrold Nadler,Active,BUILDING,1693047.225,18163010629.8,False
TN2240,KIMBROUGH,,L,4,57 GERMANTOWN CT,MEMPHIS,TN,38018,35.13071,-89.796001,3398.0,,2000.0,4709,Steve Cohen,Active,BUILDING,295407.1076,1003793351.6248,False
CA6124,7677 OAKPORT STREET,,L,9,7677 OAKPORT ST,OAKLAND,CA,94621,37.74675,-122.20354,12665.0,,1983.0,612,Barbara Lee,Active,BUILDING,466828.7217,5912385760.3305,False
CA8340,COLLEGE SQUARE - LAKEPORT,,L,9,991 PARALLEL DR,LAKEPORT,CA,95453,39.03517,-122.92655,5842.0,,2000.0,604,Mike Thompson,Active,BUILDING,363503.8622,2123589562.9724,False
CA0092,US CUSTOM HOUSE - SF,APPRAISAL FED CTR,F,9,555 BATTERY ST,SAN FRANCISCO,CA,94111,37.79629,-122.40094,126654.97,,1911.0,611,Nancy Pelosi,Active,BUILDING,1030584.815,130528688826.28055,False
TX0999,USBS WORLD TRADE LAREDO EXPORT LOT TRAILER,USBS WORLD TRADE LAREDO,F,7,715 BOB BULLOCK LOOP,LAREDO,TX,78043,27.603927,-99.531571,1934.42,,1995.0,4828,Henry Cuellar,Active,BUILDING,177009.1094,342409961.405548,False
MT5567,BILLINGS LOGAN INTERNATIONAL,,L,8,1901 TERMINAL CIR,BILLINGS,MT,59105,45.80391,-108.537,2651.0,,2004.0,3002,Matthew Rosendale,Active,BUILDING,412880.7685,1094546917.2935,False
TX2649,ADDISON.COM CENTER,,L,7,16650 WESTGROVE DR,ADDISON,TX,75001,32.97843,-96.837611,22194.0,,2007.0,4832,Colin Allred,Active,BUILDING,490622.6845,10888879859.793,False
TX0409,USBS DEL RIO PRIMARY INSPECTION,USBS DEL RIO,F,7,3140 SPUR 239 INTERNATIONAL BRIDGE,DEL RIO,TX,78840,29.333635,-100.91864,16645.63,,2009.0,4823,Tony Gonzales,Active,BUILDING,212708.1422,3540661033.0485864,False
FL2468,"CUSTOM HOUSE, PANAMA CITY, FL",APPRAISERS STORE,L,4,1601 BALBOA AVE,PANAMA CITY,FL,32405,30.17829,-85.675831,13000.0,,2000.0,1202,Neal Dunn,Active,BUILDING,295172.667,3837244671.0,False
MO1865,NARA,,L,6,200 NW SPACE CENTER DR,LEES SUMMIT,MO,64064,39.0105249,-94.383932,806794.0,,2000.0,2905,Emanuel Cleaver,Active,BUILDING,434077.141,350210832895.954,False
MI1997,TRADE CENTER BLDG.,,L,5,50 LOUIS ST NW,GRAND RAPIDS,MI,49503,42.963777,-85.671014,9517.0,,2000.0,2603,Hillary Scholten,Active,BUILDING,285362.487,2715794788.7790003,False
